long_word,hyphenated,confidence,note
adrenalininjektion,adre­nalin­injek­tion,high,
afroamerikanska,afro­ameri­kanska,high,
Aktiebolagslagen,Aktie­bolags­lagen,high,
alkoholiserad,alko­holi­serad,medium,not a compound; syllable breaks
Änkegrevinnan,Änke­grevinnan,high,
Artemistemplet,Artemis­templet,high,
bakelsekriget,bakelse­kriget,high,
barnbarnsbarn,barn­barns­barn,high,
Bärnstenskikaren,Bärnstens­kikaren,high,
Bartolomeinatten,Bartolomei­natten,high,
begravningsfirma,begravnings­firma,high,
Bergsmansgårdens,Bergsmans­gårdens,high,
Blåbärsyoghurt,Blåbärs­yoghurt,high,
Blindtestmannen,Blind­test­mannen,high,
Bosnienkriget,Bosnien­kriget,high,
bostadsöverskott,bostads­överskott,high,
bostadsskattereformen,bostads­skatte­reformen,high,
Brachiosaurus,Brachio­saurus,high,
Brandenburgkonserterna,Brandenburg­konser­terna,high,
brednoskajman,bred­nos­kajman,high,
Bridgewaterkanalen,Bridge­water­kanalen,high,English proper noun split + Swedish compound boundary
brigadgeneral,brigad­general,high,
Bröllopsfotografen,Bröllops­fotografen,high,
bröllopsklänning,bröllops­klänning,high,
Californication,Cali­forni­cation,medium,English neologism; pure syllable break
Canossavandring,Canossa­vandring,high,
cementblandaren,cement­blandaren,high,
Centerpartiet,Center­partiet,high,
Cheopspyramiden,Cheops­pyramiden,high,
Choladynastins,Chola­dynastins,high,
cirkusstjärna,cirkus­stjärna,high,
Columbinemassakern,Columbine­massakern,high,
Correspondenten,Corre­sponden­ten,medium,not a Swedish compound; pure syllable break of Latin/old Swedish form
crushcrushcrush,crush­crush­crush,high,
Cryolophosaurus,Cryolopho­saurus,high,
Darfurkonflikten,Darfur­konflikten,high,
Daytonavtalet,Dayton­avtalet,high,
defibrillator,defi­brilla­tor,medium,not a compound; medical Latin syllable break
departementschefer,departements­chefer,high,
diskoteksbranden,diskoteks­branden,high,
Diskrimineringslagen,Diskri­minerings­lagen,high,
Dödsrelikerna,Döds­relikerna,high,
Drömfakulteten,Dröm­fakulteten,high,
dubbelkvartett,dubbel­kvartett,high,
Dubrovkateatern,Dubrovka­teatern,high,
Ekvatorialguinea,Ekvatorial­guinea,high,
Elfenbenskusten,Elfenbens­kusten,high,
enhjärtbladiga,en­hjärt­bladiga,high,
Eriksdalsbadet,Eriksdals­badet,high,
Estoniakatastrofen,Estonia­katastrofen,high,
Evolutionsteorin,Evolutions­teorin,high,
Fackförbundet,Fack­förbundet,high,
Fågelfångarens,Fågel­fångarens,high,
Falklandskriget,Falklands­kriget,high,
familjemedlem,familje­medlem,high,
fängelseritning,fängelse­ritning,high,
fildelningslagen,fildelnings­lagen,high,
finansminister,finans­minister,high,
fjällgentiana,fjäll­gentiana,high,
fjärdedelsnot,fjärdedels­not,high,
flanellskjortor,flanell­skjortor,high,
flygkraschöverlevande,flyg­krasch­överlevande,high,
folkomröstning,folk­omröstning,high,
fönsterkarmarna,fönster­karmarna,high,
Föräldrabalken,Föräldra­balken,high,
förbundsländer,förbunds­länder,high,
Förbundsrepubliken,Förbunds­republiken,high,
författningar,för­fattningar,high,
förskräcklige,för­skräcklige,high,
fotbollskriget,fotbolls­kriget,high,
Fredericksburg,Frede­ricks­burg,medium,English proper noun; component split
Frihetsgudinnan,Frihets­gudinnan,high,
frihetskriget,frihets­kriget,high,
fripassagerare,fri­passagerare,high,
Friskolereformen,Friskole­reformen,high,
Frühlingserwachen,Frühlings­erwachen,high,German compound
Genèvekonventionen,Genève­konven­tionen,high,
Giganotosaurus,Giganoto­saurus,high,
gisslandramat,gisslan­dramat,high,
Glasögonsmurf,Glasögon­smurf,high,
globaliseringen,globali­seringen,medium,not a compound; syllable break
Göteborgskravallerna,Göteborgs­kraval­lerna,high,
grannkonflikter,grann­konflikter,high,
Grisbuktsinvasionen,Grisbukts­inva­sionen,high,
grönsaksodlare,grönsaks­odlare,high,
Halikarnassos,Hali­karnassos,medium,Greek proper noun; syllable break
hälsotidningar,hälso­tidningar,high,
Halvblodsprinsen,Halvblods­prinsen,high,
handelsresandes,handels­resandes,high,
Heksanosaurus,Heksano­saurus,medium,uncommon dinosaur name; component split assumed
Hjärnkontoret,Hjärn­kontoret,high,
hjärttransplantationen,hjärt­transplan­tationen,high,
honungsvisare,honungs­visare,high,
hotellmagnatens,hotell­magnatens,high,
hundraårskriget,hundra­års­kriget,high,
Hundraårskriget,Hundra­års­kriget,high,
hushållspapper,hushålls­papper,high,
huvudfigurerna,huvud­figurerna,high,
huvudpersonen,huvud­personen,high,
huvudpersonens,huvud­personens,high,
impressionism,impres­sionism,medium,not a compound; syllable break on -sion-
inbördeskriget,inbördes­kriget,high,
indelningsverkets,indelnings­verkets,high,
individualism,indi­vidu­alism,medium,not a compound; Latin-root syllable break
Indokinakriget,Indokina­kriget,high,
inkvisitionen,inkvi­sitionen,medium,not a compound; syllable break
inlandstaipan,inlands­taipan,high,
inspelningshuset,inspelnings­huset,high,
inspelningsländer,inspelnings­länder,high,
International,Inter­national,high,English; transparent prefix
Investigation,Investi­gation,medium,English; syllable break
jakobitupproret,jakobit­upproret,high,
jordbävningen,jord­bävningen,high,
jordnötsodlare,jordnöts­odlare,high,
julbombningarna,jul­bombningarna,high,
Kalmarunionen,Kalmar­unionen,high,
Kameraövervakningslagen,Kamera­övervaknings­lagen,high,
Kangchenjunga,Kang­chen­junga,medium,Nepalese proper noun; component-style split
Kankbergsgruvan,Kankbergs­gruvan,high,
kannibalistisk,kanni­balistisk,medium,not a compound; syllable break
Karamelodiktstipendiet,Karamelodikt­stipendiet,medium,Povel Ramel coinage; uncertain inner split of 'Karamelodikt'
kardinaltetra,kardinal­tetra,high,
kataraktoperation,katarakt­opera­tion,high,
koalitionskriget,koalitions­kriget,high,
kolecystektomi,kole­cyst­ektomi,medium,Greek-medical compound; component split
koleraepidemi,kolera­epidemi,high,
komplementfärg,komplement­färg,high,
konsumentfrågor,konsument­frågor,high,
kontrollpunkt,kontroll­punkt,high,
kortikosteroider,kortiko­steroider,high,
Kosovokonflikten,Kosovo­konflikten,high,
kreditförluster,kredit­förluster,high,
